Id,Name,Program,Breakfast,Lunch,Dinner,Snacks,Energy,Protein,Fatness,Carbohydrates,Calcium,Na,Potassium,Alcohol,Water,Category,Weight S,Img_file S,Img_width S,Img_height S,Weight M,Img_file M,Img_width M,Img_height M,Weight L,Img_file L,Img_width L,Img_height L,Weight XL,Img_file XL,Img_width XL,Img_height XL,Menu Image,,
79,Beacon Strip,1,0,1,1,0,248,28,14.25,0,25,397,370,0,55.98,9,15.7,strip_p_t,137,177,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,strip_m_t,בייקון,لحم خنزير مقدد
80,Kziza,1,0,1,1,0,253.63,15.87,17.17,8.78,47.34,383.68,165.22,0,55.71,9,55.3,kziza_p_t,121,128,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,kziza_m_t,קציצה,اللحم المفروم
81,Liver,1,0,1,1,0,204.16,16.12,13.21,4.09,18.04,404.4,281.07,0,64.92,9,47.2,liver_p_t,118,111,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,liver_m_t,כבד,كبد
82,Salami,1,1,1,1,1,235.45,14.4,19.64,0.12,16.69,409.92,304.17,0,64.84,4,15.7,salami_p_t,183,237,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,salami_p_t,סלאמי,سلامي
83,Carrot,2,1,1,1,0,41,0.93,0.24,6.78,33,69,320,0,88.29,7,42.9,carrot_p_t,143,110,95.1,carrot_m_t,277,95,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,carrot_m_t,גזר,جزر  
84,Fruit Juice,1,1,1,1,1,43.5,0,0,11.4,4.74,10.4,75.76,0,87.5,2,10000,fruitshake_p_t,223,200,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,fruitshake_m_t,מיץ פירות,
85,Gamba,1,1,1,1,0,26,0.99,0.3,4.03,7,2,211,0,92.21,7,89.9,gamba_m_t,208,151,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,gamba_m_t,גמבה,فلفل جمبه
86,Kabanos,1,1,1,1,0,395,17,34,5,10.18,980,253.46,0,43,4,25.1,kabanos_p_t,283,32,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,kabanos_m_t,קבנוס,لحوم البقر
87,Cabbage,1,1,1,1,0,395,17,34,5,10.18,980,253.46,0,43,7,47.8,kroov_mp_t,170,152,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,kroov_mp_t,כרוב,ملفوف
88,Tuna,1,0,1,1,0,395,17,34,5,10.18,980,253.46,0,43,10,48.5,tuna_p_t,148,158,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,tuna_p_t,טונה,تونه
89,Thina,1,1,1,1,1,268.02,11.52,23.01,4.11,321.67,656.48,227.85,0,58.8,5,22.2,yogurt_p_t,116,116,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,thina_m_t,טחינה,طحينه
90,Tomato Sauce,1,0,1,1,0,93.42,1.61,4.78,10.29,20.53,501.18,314.81,0,80.39,5,43.6,tomatosauce_p_t,159,161,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,tomatosauce_m_t,רוטב עגבניות,صلصة الطماطم
91,Beef Soup,1,0,1,1,0,72.53,5.65,3.61,4.06,12,366.84,185.87,0,85.09,17,268.8,beef_soup_4_t,340,335,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,beef_soup_4_t,מרק בקר,حساء البقر
92,Bolognese Sauce,1,0,1,1,0,147.47,8.91,10.18,4.97,10.47,568.18,274.11,0,74.31,5,59.2,bolognese_sauce_t,290,227,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,bolognese_sauce_t,רוטב בולונז,صلصة بولونيز
93,Chocolate Puding,1,1,0,1,1,108,2.6,1.5,21,130,100,188.4,0,73.9,0,130.1,chocolate_pudding_4_t,171,159,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,chocolate_pudding_1_t_m,פודינג שוקולד,بودنغ الشوكولاته
94,Corn,1,1,1,1,1,107,3.3,1.27,22.16,2,242,248,0,69.17,7,341.4,corn_t,298,125,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,corn_t,תירס,ذرة
95,Cream Sauce,1,1,1,1,1,323.28,3.14,29.29,11.55,75.7,265.21,128.7,0,54.54,5,18,cream_sauce_t,182,139,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,cream_sauce_t,רוטב שמנת,صلصة القشدة
96,Fish Steak,1,0,1,1,0,105,11.5,2,10.5,18.5,700,86.66,0,75,10,98.1,fish_steak_t,163,197,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,fish_steak_t,סטייק דג,شريحة سمك
97,Fruit Yogurt,1,1,0,1,0,94,5,3,11.6,252.94,90,324.01,0,78.5,0,153.4,fruit_yogurt_4_t,156,153,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,fruit_yogurt_t,יוגורט פירות,زبادي الفاكهة
98,Nioki,1,1,1,1,0,154,2.8,0.3,35.2,40.82,360,262.38,0,59.76,11,69.2,gnocchi_nioki_1_t,202,167,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,gnocchi_nioki_1_t,ניוקי,
